file,z,D_L_Mpc,L_Halpha (erg/s),L_Hbeta (erg/s),L_[OIII]5007 (erg/s)
spectrum_10.fits,0.010011519,44.69892399696122,1.2997966345019177e+39,1.1945527042417927e+39,1.4125310959225114e+39
spectrum_100.fits,0.010245152,45.75010721203006,5.553769345821141e+40,2.3486221306242987e+40,2.1675778431799838e+40
spectrum_11.fits,0.010012746,44.704443670983025,6.6088663624910035e+38,6.038641331420274e+38,7.085584522815598e+38
spectrum_12.fits,0.010012832,44.70483054338021,2.7416885870212397e+40,1.987822199925394e+40,2.0621416124356597e+40
spectrum_13.fits,0.010014678,44.71313481635254,9.784271555404744e+38,8.201839192073555e+38,9.639550320309409e+38
spectrum_14.fits,0.010016446,44.721088226017244,2.2893683583051677e+39,1.3982543024848477e+39,2.3978598647433656e+39
spectrum_15.fits,0.010017677,44.72662593485492,4.9994614690752335e+38,4.751431590465144e+38,5.3663121551419084e+38
spectrum_16.fits,0.010018366,44.72972543677208,1.2508601233759216e+39,1.1097641622377704e+39,1.2612798701774726e+39
spectrum_17.fits,0.010020492,44.739289377162,5.414107141869433e+38,5.024441226373965e+38,5.92020877038796e+38
spectrum_18.fits,0.010022112,44.74657706614361,7.642898413691881e+38,5.173349685942609e+38,1.425026516055646e+39
spectrum_19.fits,0.010022211,44.74702242548642,4.537024989479337e+39,2.0560207570260135e+39,1.8425801874605333e+39
spectrum_2.fits,0.010000313,44.64851414140253,1.2275255469365119e+39,7.405115892596312e+38,1.453908691037343e+39
spectrum_20.fits,0.010024401,44.75687433082002,1.2404991914561496e+39,8.232146059020364e+38,9.893505371213341e+38
spectrum_21.fits,0.010025358,44.7611794886109,1.1364704746175008e+39,9.22932128298634e+38,1.2092988264059912e+39
spectrum_22.fits,0.010026084,44.764445474488106,2.3997713642180833e+38,1.8892082583192094e+38,1.8828499335927564e+38
spectrum_23.fits,0.010027081,44.76893058758639,2.5995079701368652e+39,2.131589187782791e+39,2.3698620486585032e+39
spectrum_24.fits,0.010031311,44.78795977761805,1.8211397105141417e+38,1.2303522221305253e+38,1.6333122224658274e+38
spectrum_25.fits,0.010033084,44.79593587813189,2.2578500237564498e+39,1.4559421429100498e+39,2.934801140762939e+39
spectrum_26.fits,0.010034291,44.801365756724266,1.7685689049776425e+38,1.9288986190233307e+38,2.4162261987621967e+38
spectrum_27.fits,0.010041282,44.8328160579934,2.6648938154615823e+39,1.5054654876794703e+39,3.3373231990820844e+39
spectrum_28.fits,0.010042007,44.83607762283421,5.7291611021077255e+38,5.648649786313647e+38,6.522955960431194e+38
spectrum_29.fits,0.01004364,44.84342402940459,2.5799149646135603e+39,1.7819786040059348e+39,1.9752675719454902e+39
spectrum_3.fits,0.010000561,44.64962975284899,1.263230491500999e+39,8.678491725563856e+38,7.714579556116481e+38
spectrum_30.fits,0.010045351,44.85112135520384,2.0941128412268313e+39,1.8122122117775936e+39,1.985288949690581e+39
spectrum_31.fits,0.010046201,44.85494528240535,1.3222662699071131e+39,6.978659552814166e+38,6.204710105973573e+38
spectrum_32.fits,0.010056317,44.90045488750628,1.1177205967753397e+39,7.037178141863615e+38,1.2320514816875641e+39
spectrum_33.fits,0.0100472905,44.85984666442885,2.751159708670456e+39,1.1871858737965341e+39,1.8652760588158433e+39
spectrum_34.fits,0.0100477785,44.862042054282036,9.952906265815311e+38,6.444820152954855e+38,8.692610062718391e+38
spectrum_35.fits,0.010048265,44.86423069760338,1.1864583372085809e+39,8.992900083728265e+38,9.989147276983503e+38
spectrum_36.fits,0.0100482805,44.86430042830059,2.6453007694658556e+38,2.9104132966765243e+38,3.0888535639573104e+38
spectrum_37.fits,0.010048441,44.865022478518306,1.405513742353322e+39,9.363650698960544e+38,1.6885655041498274e+39
spectrum_38.fits,0.010048723,44.86629112791818,1.7907027705045435e+39,1.3320317965307423e+39,1.7877118632227388e+39
spectrum_39.fits,0.010050614,44.87479829071234,8.903038105465501e+38,5.81609133549548e+38,1.0164246771347856e+39
spectrum_4.fits,0.009944479,44.39735913923211,3.833833582532071e+38,2.662348898452003e+38,3.3789521161600826e+38
spectrum_41.fits,0.010052132,44.88162743190505,5.445873952162906e+39,2.770932309916226e+39,1.0118895206081483e+40
spectrum_42.fits,0.01005848,44.91018582645621,4.9024154214646835e+38,4.457448810565076e+38,5.555987875951265e+38
spectrum_43.fits,0.010086028,45.034121958426795,5.085239918737175e+37,4.5041083289051845e+37,4.774134835028453e+37
spectrum_44.fits,0.010065602,44.94222661596388,8.340388654943117e+38,4.834393857154141e+38,9.610219342740058e+38
spectrum_45.fits,0.010065945,44.943769729143,2.192700029989276e+40,1.9447815889446291e+40,2.0146092594804588e+40
spectrum_46.fits,0.010067575,44.95110290170155,4.237951760341693e+40,1.9372532818680534e+40,1.857128408299385e+40
spectrum_47.fits,0.010069213,44.95847208327351,5.732229862032018e+38,5.63897847548294e+38,6.287199266472847e+38
spectrum_49.fits,0.010069554,44.960006206978875,1.1171269303189122e+39,7.032432928260417e+38,9.881791390302755e+38
spectrum_5.fits,0.010005968,44.67395288416571,8.277697367614557e+38,9.52421532941062e+38,1.1984337839422883e+39
spectrum_50.fits,0.010071943,44.97075409261885,1.5890699182670833e+38,1.216131315230633e+38,1.421228249359055e+38
spectrum_51.fits,0.010078469,45.00011414644798,1.0843107392005785e+39,9.388857795484143e+38,1.2649632359103142e+39
spectrum_52.fits,0.0100794425,45.00449388479546,7.977718710196475e+38,7.936817758972055e+38,8.293948862956707e+38
spectrum_54.fits,0.010084021,45.02509246225145,1.926756619653751e+39,1.6753906778703384e+39,2.1783924585688895e+39
spectrum_55.fits,0.010086194,45.03486879390118,4.590638531190378e+38,3.3482492884670428e+38,3.592060089296947e+38
spectrum_56.fits,0.010086698,45.03713629551197,7.822880423661702e+38,8.068708749886794e+38,8.231758798759245e+38
spectrum_57.fits,0.010088581,45.04560794857343,6.253845799611259e+38,3.2088268677256945e+38,3.7385276302840854e+38
spectrum_58.fits,0.0100899385,45.05171538184829,8.004780957478224e+38,4.050697337054859e+38,6.496534612083332e+38
spectrum_6.fits,0.010006177,44.674893064629245,4.220230385782337e+38,3.911667130530496e+38,4.426353066519098e+38
spectrum_60.fits,0.010094975,45.07437485480726,2.4896245807322808e+39,1.8945466985194942e+39,2.003856006786311e+39
spectrum_61.fits,0.010099412,45.09433728758411,1.078073671855884e+39,7.790985796128944e+38,1.1464169629677582e+39
spectrum_62.fits,0.01009961,45.095228109168175,8.479524241306453e+38,6.407747950256622e+38,8.434442987655793e+38
spectrum_63.fits,0.010100261,45.09815702441481,4.099763467350308e+38,4.206866950431339e+38,4.566810665898258e+38
spectrum_64.fits,0.010100654,45.099925172785255,5.2141763835544524e+38,2.747595814752387e+38,4.954210966938482e+38
spectrum_65.fits,0.010100736,45.100294099548115,1.1096365902123826e+39,8.162973061930985e+38,1.1253802919480931e+39
spectrum_66.fits,0.01008072,45.01024131688898,2.3550219908349387e+38,2.461768899560926e+38,2.921217025069362e+38
spectrum_67.fits,0.010106437,45.12594361852868,2.095515527604163e+38,2.3025513620000774e+38,1.9146002625904166e+38
spectrum_68.fits,0.01010736,45.1300963326325,4.081667484890117e+38,3.6089876553642215e+38,4.7125678287238996e+38
spectrum_69.fits,0.01010843,45.13491042873542,3.868334287916831e+39,3.2747544493717034e+39,3.7700537739895866e+39
spectrum_7.fits,0.010006329,44.67557683242346,4.453373716370112e+38,2.4721799846111353e+38,4.391406754767041e+38
spectrum_70.fits,0.010109445,45.13947707840928,4.9057422814224164e+38,5.107987418041217e+38,6.058154511029337e+38
spectrum_71.fits,0.010110062,45.14225306489402,2.921347904311234e+38,2.730693936586054e+38,3.204957540318587e+38
spectrum_72.fits,0.010113757,45.15887754314947,2.7702255968453913e+39,2.329408656200648e+39,2.4715852445423802e+39
spectrum_74.fits,0.010098475,45.09012163547857,6.88660542103154e+38,6.0137030762658014e+38,6.878641032409206e+38
spectrum_75.fits,0.010117349,45.17503869356326,3.301112788680044e+39,2.5110011055253383e+39,3.065777620798618e+39
spectrum_76.fits,0.010121591,45.194124439953065,6.643775999051638e+38,5.585960997321351e+38,5.877531607803097e+38
spectrum_78.fits,0.010124035,45.20512062029744,7.222089972309516e+38,5.4591693917911804e+38,5.766019643989175e+38
spectrum_79.fits,0.010124655,45.20791016506392,2.699929572140329e+38,2.210510420299e+38,2.1999407667439385e+38
spectrum_8.fits,0.010007663,44.68157780117181,2.7936985663820544e+39,1.8612856360661794e+39,1.8605841840614024e+39
spectrum_80.fits,0.010125365,45.21110464692014,1.8812445976944584e+39,8.615196991203617e+38,6.7465848651940274e+38
spectrum_81.fits,0.010126488,45.216157334291836,1.9063065272154375e+39,1.371102988306115e+39,1.9798310694230792e+39
spectrum_82.fits,0.010127797,45.222046897763406,1.615480207556232e+39,1.7202965779772588e+39,1.905831170077119e+39
spectrum_83.fits,0.010127806,45.22208739136418,1.2308725519244412e+39,7.017598627190288e+38,6.898835529990333e+38
spectrum_84.fits,0.010129433,45.22940774346597,3.0547197888642685e+39,1.7539494612650108e+39,3.097377036652982e+39
spectrum_85.fits,0.010112511,45.153271551869004,6.785096593675082e+39,3.5480167138163214e+39,7.836441234279163e+39
spectrum_86.fits,0.010133936,45.24966815918436,1.8701286875640205e+40,1.7839153965544064e+40,1.7915688167368517e+40
spectrum_87.fits,0.010134335,45.25146339246363,1.1410213249498762e+39,1.0547463116804501e+39,1.2960727494545685e+39
spectrum_88.fits,0.010134766,45.25340260555339,2.5536257634637724e+38,2.591985185365633e+38,3.1982204764683177e+38
spectrum_89.fits,0.010123821,45.204157778025944,2.0944376536040593e+40,1.7518305516589734e+40,1.7759096629357972e+40
spectrum_9.fits,0.010007736,44.68190619036142,1.8906936721905797e+39,1.0290227624277042e+39,2.9928553172475604e+39
spectrum_92.fits,0.01013759,45.266108756536035,4.028382106427547e+38,4.053035095756549e+38,4.107259561162549e+38
spectrum_93.fits,0.010137606,45.266180746212655,2.229593271810789e+39,1.2672188479796439e+39,2.400159368983917e+39
spectrum_94.fits,0.01013905,45.27267782160907,4.45805578350453e+38,2.8646166055056943e+38,3.3552433103499697e+38
spectrum_95.fits,0.010139111,45.27295228285872,7.57192884953161e+39,3.248817391758919e+39,8.571545350995728e+39
spectrum_96.fits,0.010140014,45.27701521215039,3.891595451237831e+38,4.263789297617008e+38,4.38357299791091e+38
spectrum_97.fits,0.010140172,45.27772611285534,5.885340126415707e+38,5.407259499113899e+38,6.072629730078177e+38
spectrum_98.fits,0.010142371,45.28762024830463,2.4976704300056775e+38,1.9377700072146666e+38,2.1318950550667935e+38
